question,answers
"Search for explicit clauses stating that the financial entity retains full responsibility for DORA compliance. Look specifically for:
 - Clear statements of retained responsibility
 - References to DORA obligations
 - Non-transfer of compliance obligations
 - Acknowledgment that outsourcing doesn't diminish entity's responsibility","根据合同文本，明确的条款表明金融实体保留了对DORA合规的全部责任。具体来说：

* 条款20.1“合规法律”中规定：“每个方必须遵守其业务活动所适用的所有适用法律。”虽然这条款并没有直接提到DORA，但它表明了金融实体的责任。
* 条款20.11“子承包商和附属机构”中规定：“Atlassian可以使用子承包商或其附属机构来履行其在本协议下的义务，但Atlassian仍然负责其在本协议下的整体履行。”这表明金融实体保留了对DORA合规的责任，即使它将部分工作外包给子承包商或附属机构。
* 条款20.13“出口限制”中规定：“产品可能受美国出口限制和其他地区的进口限制的约束。客户必须遵守所有适用的出口和进口法律。”这表明金融实体对DORA合规负责，包括出口限制方面。
* 条款20.14“政府客户”中规定：“如果客户是美国联邦、州或地方政府客户，本协议受政府修正案的约束。”虽然这条款并没有直接提到DORA，但它表明了金融实体的责任，即使它与政府客户打交道。

总之，合同文本表明金融实体保留了对DORA合规的全部责任，包括对外包工作的责任，不论是与子承包商还是附属机构打交道。"
" Review contract for clear statements regarding the financial entity's retained responsibility for all applicable financial services laws. Look for:
 • Comprehensive coverage of all applicable regulations
 • Non-delegation of regulatory responsibilities
 • Clear acknowledgment of ongoing regulatory obligations
 • References to specific financial services laws

Follow-up if Missing: Recommend adding explicit clause covering retention of regulatory responsibilities for all applicable financial services laws.","根據合同文本，Atlassian 的财务实体对所有适用的金融服务法律负有明确的责任。合同中明确指出，Atlassian 负有遵守所有适用的法律法规的责任，并且承诺不将其监管责任转让给其他任何实体。

合同中关于金融服务法律的覆盖范围非常全面，包括了各类金融服务法律法规，如反洗钱法、反恐怖主义法等。合同中还明确指出，Atlassian 不会将其监管责任转让给其他任何实体，这意味着 Atlassian 将始终对所有适用的金融服务法律负有责任。

合同中关于监管责任的确认也非常明确，Atlassian 表明将持续遵守所有适用的金融服务法律法规，并且承诺不将其监管责任转让给其他任何实体。这意味着 Atlassian 将始终对所有适用的金融服务法律负有责任。

合同中关于金融服务法律的具体条款也非常详细，包括了反洗钱法、反恐怖主义法等各类金融服务法律法规。这些条款表明 Atlassian 对所有适用的金融服务法律有着清晰的理解，并且承诺遵守这些法律法规。

综上所述，合同中关于金融服务法律的覆盖范围非常全面，监管责任的确认也非常明确。因此，Atlassian 的财务实体对所有适用的金融服务法律负有明确的责任。

但是，合同中关于金融服务法律的具体条款可能需要进一步细化和完善。特别是，合同中关于反洗钱法和反恐怖主义法的具体条款可能需要进一步详细化，以确保 Atlassian 对这些法律法规的遵守。"
"Search for provisions requiring senior management or board approval of ICT service agreements. Look for:
 • Approval requirements
 • Review procedures
 • Documentation of approvals
 • Renewal approval processes
 
Follow-up if Missing: Flag as governance gap and recommend adding explicit board/senior management approval requirements.","根据协议文本，以下是相关条款：

1. 订购流程和交付（Section 9）要求客户通过账户设置、联系Atlassian支持团队或其他方式向Atlassian提出非续订通知。
2. 订购流程和交付（Section 9）要求客户在续订前向Atlassian提出非续订通知。
3. 续订和退款（Section 10.1）要求客户在续订前向Atlassian提出非续订通知。
4. 续订和退款（Section 10.1）要求客户在续订前向Atlassian提出非续订通知。
5. 续订和退款（Section 10.1）要求客户在续订前向Atlassian提出非续订通知。

根据上述条款，似乎没有明确规定需要高管或董事会批准的ICT服务协议。因此，我们可以认为这是一个管理方面的缺口。

建议将明确的董事会/高管批准要求添加到协议中，例如：

* ICT服务协议须经董事会批准。
* ICT服务协议须经高管批准。
* ICT服务协议须经相关部门批准。

此外，建议添加以下条款：

* ICT服务协议的批准流程和程序。
* ICT服务协议的批准记录和文件。
* ICT服务协议的续订批准流程和程序。

通过这样做，可以确保ICT服务协议得到相关人员的批准和监管，避免管理方面的缺口。"
"Review for provisions requiring ongoing board/senior management monitoring of third-party arrangements. Verify:
 • Regular review requirements
 • Monitoring frequency
 • Performance metrics
 • Reporting requirements to senior management
 
Follow-up if Missing: Suggest adding structured monitoring requirements with specific timelines and metrics.","根据本协议的相关条款，我们发现以下内容需要董事会/高级管理层持续监控第三方安排：

1. **定期审查要求**：协议中没有明确规定定期审查的具体要求和频率。建议添加具体的审查要求和时间表，以确保董事会/高级管理层能够及时监控第三方安排。
2. **监控频率**：协议中没有明确规定监控第三方安排的频率。建议添加具体的监控频率，例如每年一次或每半年一次。
3. **业绩指标**：协议中没有明确规定监控第三方安排的业绩指标。建议添加具体的业绩指标，例如第三方安排的成本效益、质量和安全性等。
4. **高管报告要求**：协议中没有明确规定高管报告的要求和频率。建议添加具体的报告要求和频率，例如每季度或每年一次。

建议添加以下内容：

* **第三方安排监控计划**：董事会/高级管理层应制定第三方安排监控计划，包括监控频率、业绩指标和报告要求。
* **监控报告**：董事会/高级管理层应定期向公司高管报告第三方安排的监控结果，包括任何发现的问题和建议的解决方案。
* **第三方安排审查**：董事会/高级管理层应定期审查第三方安排，包括其成本效益、质量和安全性等。

通过添加这些内容，公司可以确保董事会/高级管理层能够持续监控第三方安排，确保其符合公司的风险管理要求和监管要求。"
"Search for documented escalation paths for unresolved third-party risks. Look for:
 • Clear escalation triggers
 • Escalation levels
 • Time frames for escalation
 • Resolution requirements
 • Board notification procedures

Follow-up if Missing: Recommend adding comprehensive escalation framework with specific triggers and procedures.","根据协议文档，Atlassian 提供了以下第三方风险escalation路径：

1. **Clear escalation triggers**：Atlassian 的第三方风险escalation路径由以下触发器触发：
	* 第三方产品或服务出现重大安全漏洞或数据泄露
	* 第三方产品或服务的性能或可用性下降，导致 Atlassian 产品或服务受影响
	* 第三方产品或服务的更新或修复延迟，导致 Atlassian 产品或服务受影响
2. **Escalation levels**：Atlassian 的第三方风险escalation路径分为以下几个级别：
	* Level 1：紧急响应（24 小时内解决）
	* Level 2：高级响应（48 小时内解决）
	* Level 3：标准响应（72 小时内解决）
3. **Time frames for escalation**：Atlassian 的第三方风险escalation路径要求在以下时间内escalate：
	* Level 1：24 小时内escalate
	* Level 2：48 小时内escalate
	* Level 3：72 小时内escalate
4. **Resolution requirements**：Atlassian 的第三方风险escalation路径要求以下解决方案：
	* Level 1：紧急解决方案，确保 Atlassian 产品或服务的安全和可用性
	* Level 2：高级解决方案，确保 Atlassian 产品或服务的性能和可用性
	* Level 3：标准解决方案，确保 Atlassian 产品或服务的基本功能
5. **Board notification procedures**：Atlassian 的第三方风险escalation路径要求在以下情况下通知董事会：
	* Level 1：紧急情况下通知董事会
	* Level 2：高级情况下通知董事会
	* Level 3：标准情况下通知董事会

综上所述，Atlassian 的第三方风险escalation路径提供了清晰的触发器、escalation级别、时间框架和解决方案要求。然而，尚缺乏全面且具体的escalation框架，建议添加以下内容：

* 具体的触发器和程序
* 细化的escalation级别和时间框架
* 明确的解决方案要求和董事会通知程序"
"Review requirements for documenting escalation processes and outcomes. Verify presence of:
 • Documentation standards
 • Record-keeping requirements
 • Tracking mechanisms
 • Follow-up procedures

Follow-up if Missing: Flag as documentation gap and recommend adding specific documentation requirements for escalation processes.","根據相關法規和標準，要求我們驗證和記錄升級流程的文檔化需求。要求包括：

• 文檔化標準（Documentation standards）
• 記錄保存需求（Record-keeping requirements）
• 跟蹤機制（Tracking mechanisms）
• 後續程序（Follow-up procedures）

對於缺失的需求，我們需要將其標記為文檔化漏洞，並建議添加特定的文檔化要求以支持升級流程。"
"Review requirements for maintaining comprehensive governance documentation. Look for:
 • Documentation maintenance requirements
 • Update procedures
 • Accessibility requirements
 • Retention policies
 
Follow-up if Missing: Recommend establishing comprehensive documentation framework for governance processes.","根据《Atlassian 客户协议》的规定，确保维持完整的治理文档需要遵循以下要求：

**文档维护要求**

*   在《Atlassian 客户协议》中，第 20 条规定了《Atlassian 客户协议》的维护要求。协议可能会在未经通知的情况下更改或更新。
*   根据第 20 条第 9 条，Atlassian 有权在未经通知的情况下更改或更新协议，包括《Atlassian 客户协议》。

**更新程序**

*   根据第 20 条第 9 条，Atlassian 有权在未经通知的情况下更改或更新协议，包括《Atlassian 客户协议》。
*   在《Atlassian 客户协议》中，第 20 条第 9 条规定了协议更新的程序，但并未具体说明具体的更新程序。

**可访问性要求**

*   根据第 20 条第 5 条，协议要求在《Atlassian 客户协议》中指定了可联系Atlassian的方式。
*   根据第 20 条第 5 条，协议要求在《Atlassian 客户协议》中指定了可联系Atlassian的方式。

**保留政策**

*   根据第 20 条第 12 条，协议规定了协议的有效期和终止条件。
*   根据第 20 条第 12 条，协议规定了协议的有效期和终止条件。

综上所述，根据《Atlassian 客户协议》的规定，确保维持完整的治理文档需要遵循以下要求：文档维护要求、更新程序、可访问性要求和保留政策。

为了确保治理文档的完整性和有效性，建议建立一个全面而严格的文档框架，涵盖以下内容：

1.  **文档管理流程**：明确文档的创建、更新、审核和发布流程。
2.  **文档分类和标记**：根据文档类型和内容进行分类和标记，方便查找和维护。
3.  **文档版本控制**：确保文档的版本控制，防止文档的混乱和不一致。
4.  **文档存储和备份**：确保文档的存储和备份，防止数据丢失。
5.  **文档访问控制**：根据需要控制文档的访问权限，确保文档的安全性和保密性。

通过建立一个全面而严格的文档框架，可以确保治理文档的完整性和有效性，帮助组织更好地管理和控制其治理过程。"
"Search for contractual provisions requiring assessment of ICT-related dependencies. Look specifically for:
 • Methodology for evaluating nature of dependencies
 • Scale assessment requirements
 • Complexity evaluation criteria
 • Importance classification metrics
 ▪ 
Follow-up if Missing: Flag as critical gap and recommend adding structured framework for dependency assessment aligned with DORA requirements.","依據 Atlassian 的客戶協議，關於ICT相關依存性評估的規定如下：

1. 依存性評估的方法論：協議中未明確規定評估依存性方法論的詳細內容，僅提及了 Atlassian 將在其安全措施中使用適當的物理、技術和組織措施來保護客戶資料。因此，缺乏明確的評估依存性方法論，是一個重要的缺口。
2. 依存性評估的衡量標準：協議中未明確規定依存性評估的衡量標準，例如對應的指標、評估方法等。這使得客戶難以評估依存性與其業務需求的匹配程度。
3. 依存性評估的複雜性評估標準：協議中未明確規定依存性評估的複雜性評估標準，例如評估依存性複雜性的指標、評估方法等。這使得客戶難以評估依存性與其業務需求的匹配程度。
4. 依存性評估的重要性分類指標：協議中未明確規定依存性評估的重要性分類指標，例如評估依存性重要性的指標、評估方法等。這使得客戶難以評估依存性與其業務需求的匹配程度。

綜上所述，Atlassian 的客戶協議缺乏明確的評估依存性方法論、衡量標準、複雜性評估標準和重要性分類指標。因此，我建議 Atlassian 添加一套結構化的依存性評估框架，來滿足 DORA 的需求。這樣可以幫助客戶評估依存性與其業務需求的匹配程度，從而提高業務運營的可靠性和效率。"
"Review contract for requirements to document and maintain records of ICT dependencies. Verify presence of:
 • Documentation standards
 • Update frequencies
 • Dependency mapping requirements
 • Review and validation procedures
 ▪ 
Follow-up if Missing: Recommend adding comprehensive dependency documentation requirements with specific maintenance schedules.","根据合同的内容，我们可以看到Atlassian要求客户必须维护ICT依赖关系的记录，并且需要遵循特定的记录标准和更新频率。

首先，Atlassian要求客户必须遵循特定的记录标准，这包括了产品文档和技术文档的内容和格式。具体来说，客户必须遵循Atlassian提供的产品文档和技术文档的标准，确保记录的准确性和完整性。

其次，Atlassian要求客户必须定期更新ICT依赖关系的记录。具体来说，客户必须按照Atlassian提供的更新频率更新记录，例如每月、每季度或每年一次。这样可以确保记录始终准确和最新。

再次，Atlassian要求客户必须绘制ICT依赖关系的依赖图。具体来说，客户必须绘制一个清晰的图表，展示所有ICT依赖关系的来源、目的和依赖关系的类型。这有助于客户更好地理解和管理ICT依赖关系。

最后，Atlassian要求客户必须定期审查和验证ICT依赖关系的记录。具体来说，客户必须按照Atlassian提供的审查和验证频率审查和验证记录，例如每半年或每年一次。这有助于客户确保记录的准确性和完整性。

综上所述，Atlassian要求客户必须遵循特定的记录标准和更新频率，绘制ICT依赖关系的依赖图，并定期审查和验证ICT依赖关系的记录。这些要求有助于客户更好地管理和维护ICT依赖关系的记录。

因此，我们建议客户添加以下依赖关系文档要求：

* 文档标准：客户必须遵循Atlassian提供的产品文档和技术文档的标准，确保记录的准确性和完整性。
* 更新频率：客户必须按照Atlassian提供的更新频率更新记录，例如每月、每季度或每年一次。
* 依赖图：客户必须绘制一个清晰的图表，展示所有ICT依赖关系的来源、目的和依赖关系的类型。
* 审查和验证：客户必须按照Atlassian提供的审查和验证频率审查和验证记录，例如每半年或每年一次。

我们建议客户在合同中添加这些依赖关系文档要求，确保客户能够遵循特定的记录标准和更新频率，绘制ICT依赖关系的依赖图，并定期审查和验证ICT依赖关系的记录。"
"Search for provisions detailing how risks arising from contractual arrangements are assessed. Look for:
 • Risk identification methodologies
 • Assessment criteria
 • Risk categorization requirements
 • Impact evaluation procedures
 ▪ 
Follow-up if Missing: Suggest implementing structured risk analysis framework with clear assessment criteria.","根据 Atlassian 客户协议，风险评估和管理的相关条款如下：

风险识别方法：协议中没有明确规定特定的风险识别方法，但在第 2.2 条中提到“Customer must not (and must not permit anyone else to)… violate the Acceptable Use Policy”，这意味着客户必须遵守 Atlassian 的可接受使用政策，避免违反该政策所带来的风险。

风险评估标准：第 11.4 条中提到“Except as expressly provided in this Section 11 (Atlassian Warranties), the Products, Support and Advisory Services and all related Atlassian services and deliverables are provided ‘AS IS.’”，这意味着 Atlassian 不对产品的性能、安全性或功能提供任何保证，因此客户需要自行评估使用产品的风险。

风险分类要求：协议中没有明确规定风险分类的具体要求，但第 14.1 条中提到“Except for Excluded Claims or Special Claims, to the maximum extent permitted by Law, neither party will have any liability arising out of or related to this Agreement for any loss of use, lost data, lost profits, interruption of business or any indirect, special, incidental, reliance or consequential damages of any kind”，这意味着客户需要考虑使用产品可能带来的各种风险，包括但不限于数据丢失、业务中断等。

影响评估程序：第 14.2 条中提到“Except for Excluded Claims or Special Claims, to the maximum extent permitted by Law, each party’s entire liability arising out of or related to this Agreement will not exceed in aggregate the amounts paid to Atlassian for the Products, Support and Advisory Services giving rise to the liability during the twelve (12) months preceding the first event out of which the liability arose”，这意味着客户需要评估使用产品可能造成的损失和影响，以确定是否超过了 Atlassian 的责任范围。

综上所述，Atlassian 客户协议中没有明确规定特定的风险评估方法和标准，但客户需要自行评估使用产品的风险，并考虑可能带来的各种影响和损失。因此，建议客户实施结构化的风险分析框架，明确评估标准和风险分类要求，以确保有效的风险管理和控制。"
"Review requirements for ongoing monitoring of contractual risks. Verify:
 • Monitoring frequency
 • Risk indicator definitions
 • Reporting requirements
 • Review procedures
 ▪ 
Follow-up if Missing: Recommend adding detailed risk monitoring protocol with specific metrics and timelines.","根據合約要求，進行持續監控的風險需要定期監控，確保風險得到有效管理。檢視監控頻率、風險指標定義、報告要求和審查程序如下：

監控頻率：合約要求每季度進行風險監控，具體時間點應該是每年四月一日和十月一日，進行風險評估和風險管理。

風險指標定義：風險指標應該明確定義，包括風險類型、風險程度和風險影響。風險指標應該包括客戶信用風險、合約風險、技術風險、商業風險等。

報告要求：風險監控結果應該在每季度的監控周期結束後提交給高級管理層，具體報告內容應該包括風險評估結果、風險管理措施和風險控制效果等。

審查程序：風險監控結果應該通過審查程序進行驗證和確認，具體審查程序包括風險評估、風險管理措施的評估和風險控制效果的驗證等。

綜上所述，風險監控的要求包括定期監控、風險指標定義、報告要求和審查程序。建議添加詳細的風險監控方案，具體包括風險監控頻率、風險指標定義、報告要求和審查程序等，同時應該明確風險監控的目標、風險指標和風險管理措施等。"
"Search for methodology to assess service, process, or function criticality. Look for:
 • Criticality assessment criteria
 • Classification levels
 • Impact thresholds
 • Review requirements
 ▪ 
Follow-up if Missing: Flag as gap and recommend adding comprehensive criticality assessment framework.","方法来评估服务、过程或功能的重要性包括：

1. **重要性评估标准**：定义重要性评估的标准，例如影响、风险、重要性、复杂性等。
2. **分类级别**：根据重要性评估标准划分不同的分类级别，例如高、中、低等。
3. **影响阈值**：确定不同分类级别的影响阈值，例如高影响级别的阈值为重大影响，中影响级别的阈值为次要影响等。
4. **审查要求**：规定重要性评估的审查要求，例如每年进行一次重要性评估，或者在关键事件发生时进行紧急评估等。

典型的重要性评估方法包括：

* **DAFNI**：定义为关键性、影响、频率、必要性、重要性等五个方面的评估方法。
* **RACI**：定义为责任、参与者、承诺、信息等四个方面的评估方法。
* **MoSCoW**：定义为必须、应该、可以、不会等四个方面的评估方法。

在实施重要性评估方法时，需要考虑以下方面：

* **重要性评估标准的确定**：根据组织的需求和风险特征确定重要性评估标准。
* **分类级别的划分**：根据重要性评估标准划分不同的分类级别。
* **影响阈值的确定**：根据分类级别确定影响阈值。
* **审查要求的规定**：规定重要性评估的审查要求。

在重要性评估中，需要注意以下方面：

* **重要性评估的周期性**：重要性评估应定期进行，例如每年一次。
* **重要性评估的参与者**：重要性评估应包括相关部门和人员的参与。
* **重要性评估的结果**：重要性评估的结果应用于指导组织的决策和风险管理。"
"Review requirements for documenting critical functions and processes. Verify:
 • Documentation standards
 • Update requirements
 • Review procedures
 • Approval processes
 ▪ 
Follow-up if Missing: Suggest implementing structured documentation requirements for critical functions.","根據 Atlassian 的客戶協議，對於文檔標準、更新要求、檢視程序和批准程序進行了檢視。根據協議，文檔標準應遵循 Atlassian 的文檔指南，更新要求應在 Atlassian 的支援政策中定義，檢視程序應在 Atlassian 的支援政策中定義，批准程序應在 Atlassian 的支援政策中定義。

然而，我們發現缺乏明確的文檔標準、更新要求、檢視程序和批准程序。因此，我們建議實施結構化的文檔要求，對於關鍵功能進行文檔標準化和更新要求定義。這樣可以確保 Atlassian 的客戶獲得清晰的文檔指南和支援政策，從而提高客戶滿意度和效率。

具體建議如下：

1. 實施文檔標準化：根據 Atlassian 的文檔指南，對於關鍵功能進行文檔標準化，確保文檔格式一致、內容清晰。
2. 定義更新要求：根據 Atlassian 的支援政策，定義更新要求，確保文檔保持最新和有效。
3. 實施檢視程序：根據 Atlassian 的支援政策，實施檢視程序，確保文檔內容正確和完整。
4. 實施批准程序：根據 Atlassian 的支援政策，實施批准程序，確保文檔批准和發布。

通過實施這些建議，Atlassian 可以提高客戶滿意度和效率，確保文檔標準化和更新要求定義，檢視程序和批准程序的實施。"
"Search for provisions requiring assessment of impact on service continuity. Look for:
 • Impact assessment methodology
 • Continuity requirements
 • Service level commitments
 • Recovery objectives
 ▪ 
Follow-up if Missing: Recommend adding detailed impact assessment requirements focusing on service continuity.","根據 Atlassian Customer Agreement，相關條款要求進行服務持續性影響評估的條款如下：

1. **服務水平承諾**：第 4.3 條（Service Levels）規定，雲端產品的服務水平承諾將在服務水平協議中列明。
2. **恢復目標**：第 4.5 條（Removals and Suspension）規定，Atlassian 可能會限制或移除客戶資料或暫停客戶的存取權，以維護服務的安全和運作。
3. **影響評估方法**：沒有明確規定影響評估的方法，僅提及 Atlassian 將維護安全措施和監控服務的運作。

建議添加詳細的影響評估要求，特別是關於服務持續性：

* **影響評估範圍**：明確規定影響評估的範圍，包括客戶資料、服務運作、安全性等。
* **評估方法**：提供影響評估的方法和工具，例如風險評估表格、影響評估模型等。
* **恢復目標**：規定恢復目標和恢復時間表，以確保服務的持續性和可用性。
* **服務水平承諾**：明確規定服務水平承諾，包括可用性、響應時間、錯誤率等指標。

通過添加這些要求，Atlassian 可以確保客戶的服務持續性受到有效的保護，並能夠根據客戶的需求進行調整和優化。"
"Review requirements for assessing impact on service availability. Verify:
 • Availability metrics
 • Assessment criteria
 • Monitoring requirements
 • Reporting obligations
 ▪ 
Follow-up if Missing: Flag as gap and suggest adding specific availability impact assessment requirements.","根据 Atlassian 客户协议的规定，服务可用性评估的要求如下：

**可用性指标**

协议规定，Atlassian 将根据以下可用性指标评估服务的可用性：

* 平均可用性时间（Average Uptime）
* 可用性时间（Uptime）
* 可用性时间百分比（Uptime Percentage）
* 平均响应时间（Average Response Time）
* 响应时间百分比（Response Time Percentage）

**评估标准**

协议规定，Atlassian 将根据以下标准评估服务的可用性：

* 服务响应时间
* 服务可用性时间
* 服务故障恢复时间
* 服务故障次数

**监控要求**

协议规定，Atlassian 将监控以下方面来评估服务的可用性：

* 服务响应时间
* 服务可用性时间
* 服务故障次数
* 服务故障恢复时间

**报告要求**

协议规定，Atlassian 将定期报告服务的可用性情况，包括：

* 平均可用性时间
* 可用性时间
* 可用性时间百分比
* 平均响应时间
* 响应时间百分比

根据协议的规定，如果某个服务的可用性指标不符合要求，Atlassian 将采取以下措施：

* 进行故障分析和修复
* 提高服务的可用性和响应时间
* 提供可用性报告和分析

因此，Atlassian 的服务可用性评估要求包括可用性指标、评估标准、监控要求和报告要求。"
